tier,selector,transform,family,axis,window,weekday,station_set,days,score,hit_rate,hit_lift_pp,db_day_rate,db_day_lift_pp,stable_halves
WATCH,G1#1,P5P2,pos_pair,D-1,180,6,ALL,25,33.40866666666666,0.6,19.159999999999993,0.08,5.0,2
WATCH,G2#2,FIRST2,head,D-1,180,5,ALL,26,33.40512820512821,0.6538461538461539,23.384615384615387,0.038461538461538464,0.8461538461538461,2
WATCH,G2#2,P1P2,adjacent_pair,D-1,180,5,ALL,26,33.40512820512821,0.6538461538461539,23.384615384615387,0.038461538461538464,0.8461538461538461,2
WATCH,G2#2,FIRST2,head,D-1,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,26,33.40512820512821,0.6538461538461539,23.384615384615387,0.038461538461538464,0.8461538461538461,2
WATCH,G2#2,P1P2,adjacent_pair,D-1,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,26,33.40512820512821,0.6538461538461539,23.384615384615387,0.038461538461538464,0.8461538461538461,2
WATCH,G1#1,SUM_UNIT_PAIR,sum,D-2,180,6,ALL,25,33.27533333333333,0.64,23.159999999999997,0.04,1.0000000000000002,2
WATCH,G2#2,P2P4,pos_pair,D-2,180,0,ALL,25,33.26599999999999,0.48,17.679999999999996,0.08,6.0,2
WATCH,G2#2,P3P2,adjacent_pair,D-1,180,0,ALL,25,33.26599999999999,0.48,17.679999999999996,0.08,6.0,2
WATCH,G2#2,P5P1,pos_pair,D-3,180,0,ALL,25,33.26599999999999,0.48,17.679999999999996,0.08,6.0,2
WATCH,G2#2,TAIL_HEAD,head_tail,D-3,180,0,ALL,25,33.26599999999999,0.48,17.679999999999996,0.08,6.0,2
WATCH,G2#1,P1P4,pos_pair,D-1,180,2,ALL,25,33.202,0.52,21.96,0.04,2.0,2
WATCH,G2#1,P1P4,pos_pair,D-1,180,,Khánh Hòa|Đà Nẵng,25,33.202,0.52,21.96,0.04,2.0,2
WATCH,G2#2,P4P1,pos_pair,D-1,180,1,ALL,25,33.17,0.48,17.599999999999998,0.08,6.0,2
WATCH,G2#2,P4P1,pos_pair,D-1,180,,Quảng Nam|Đắk Lắk,25,33.17,0.48,17.599999999999998,0.08,6.0,2
