target_region,source_region,source_unit,source_prize,source_index,transform,axis,lag,window,days,h1_hits,h1_rate,h1_baseline,h1_lift_pp,h1_raw_p,h2_hits,h2_rate,h2_baseline,h2_lift_pp,h2_raw_p,score
MT,MT,Khánh Hòa,DB,1,P3P2,D-1,1,180,51,29,0.5686274509803921,0.36039215686274517,20.823529411764696,0.0015808915648936738,2,0.0392156862745098,0.025098039215686287,1.4117647058823517,0.4219366617217241,22.517647058823517
MT,MB,MB_BOARD,G2,2,P4P3,D-5,5,60,60,30,0.5,0.35566666666666685,14.433333333333314,0.013882797406081473,5,0.08333333333333333,0.024500000000000015,5.883333333333331,0.0056984118912542,22.49333333333331
MN,MT,Đà Nẵng,G2,1,P5P4,D-6,6,180,51,31,0.6078431372549019,0.41882352941176476,18.901960784313715,0.004741545647869853,3,0.058823529411764705,0.030000000000000023,2.8823529411764683,0.21294832139794445,22.36078431372548
MN,MT,Đà Nẵng,G2,1,LAST2_REV,D-6,6,180,51,31,0.6078431372549019,0.41882352941176476,18.901960784313715,0.004741545647869853,3,0.058823529411764705,0.030000000000000023,2.8823529411764683,0.21294832139794445,22.36078431372548
MN,MT,Đà Nẵng,G7,1,TAIL_HEAD,W-3,21,180,52,32,0.6153846153846154,0.4665384615384616,14.88461538461538,0.02208223214430112,5,0.09615384615384616,0.034423076923076945,6.173076923076922,0.019635373894649418,22.292307692307684
MN,MB,MB_BOARD,G2,2,P2P3,W-2,14,60,60,35,0.5833333333333334,0.4333333333333334,14.999999999999996,0.01339847436385373,5,0.08333333333333333,0.03150000000000002,5.183333333333331,0.02685783194756164,22.21999999999999
MB,MB,MB_BOARD,G2,2,P5P3,W-2,14,60,60,24,0.4,0.23633333333333348,16.366666666666653,0.0023113537083001645,3,0.05,0.010000000000000005,3.9999999999999996,0.006845948082691203,22.16666666666665
MT,MT,Đà Nẵng,G5,1,HEAD_SECOND_LAST,D-1,1,180,52,30,0.5769230769230769,0.4124999999999999,16.442307692307693,0.011674911935875587,4,0.07692307692307693,0.030000000000000023,4.69230769230769,0.05738862633042385,22.073076923076922
MT,MT,Đà Nẵng,G5,1,P1P3,D-1,1,180,52,30,0.5769230769230769,0.4124999999999999,16.442307692307693,0.011674911935875587,4,0.07692307692307693,0.030000000000000023,4.69230769230769,0.05738862633042385,22.073076923076922
MT,MT,Khánh Hòa,DB,1,P2P4,W-2,14,180,52,29,0.5576923076923077,0.35480769230769227,20.288461538461544,0.0017905343160473533,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,21.903846153846157
MT,MT,Khánh Hòa,DB,1,LAST2,W-4,28,180,52,23,0.4423076923076923,0.35480769230769227,8.750000000000002,0.1202277494811453,7,0.1346153846153846,0.02500000000000002,10.961538461538458,1.9298082184642533e-06,21.903846153846153
MT,MT,Khánh Hòa,DB,1,P5P6,W-4,28,180,52,23,0.4423076923076923,0.35480769230769227,8.750000000000002,0.1202277494811453,7,0.1346153846153846,0.02500000000000002,10.961538461538458,1.9298082184642533e-06,21.903846153846153
MN,MB,MB_BOARD,DB,1,P3P1,D-4,4,60,60,36,0.6,0.4333333333333334,16.666666666666657,0.00666203259031103,4,0.06666666666666667,0.03150000000000002,3.5166666666666644,0.11702416527648819,21.886666666666656
MN,MB,MB_BOARD,DB,1,TAIL_HEAD,D-2,2,90,90,52,0.5777777777777777,0.4317777777777777,14.600000000000001,0.0035736428867710716,6,0.06666666666666667,0.031444444444444414,3.5222222222222253,0.05340396670731329,21.82666666666667
MN,MB,MB_BOARD,DB,1,P5P1,D-2,2,90,90,52,0.5777777777777777,0.4317777777777777,14.600000000000001,0.0035736428867710716,6,0.06666666666666667,0.031444444444444414,3.5222222222222253,0.05340396670731329,21.82666666666667
MN,MB,MB_BOARD,G2,2,LAST2,W-3,21,60,60,37,0.6166666666666667,0.4333333333333334,18.33333333333333,0.003114155785199903,3,0.05,0.03150000000000002,1.849999999999998,0.3260424533918774,21.553333333333327
MN,MB,MB_BOARD,G2,2,P4P5,W-3,21,60,60,37,0.6166666666666667,0.4333333333333334,18.33333333333333,0.003114155785199903,3,0.05,0.03150000000000002,1.849999999999998,0.3260424533918774,21.553333333333327
MT,MT,Khánh Hòa,G2,1,P4P3,W-3,21,180,52,30,0.5769230769230769,0.35480769230769227,22.21153846153846,0.0006806721195021739,1,0.019230769230769232,0.02500000000000002,-0.5769230769230786,0.7613292629814068,21.519230769230766
MT,MB,MB_BOARD,G2,2,P5P2,W-1,7,60,60,33,0.55,0.35566666666666685,19.43333333333332,0.0013078729410641358,2,0.03333333333333333,0.024500000000000015,0.8833333333333317,0.49000659267288155,21.493333333333318
MT,MT,Đà Nẵng,G2,1,LAST2,W-3,21,180,52,29,0.5576923076923077,0.36000000000000004,19.769230769230766,0.002360314012275161,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,21.38461538461538
MT,MT,Đà Nẵng,G2,1,P4P5,W-3,21,180,52,29,0.5576923076923077,0.36000000000000004,19.769230769230766,0.002360314012275161,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,21.38461538461538
